Symbol,Security Name,Market Category,Reg SHO Threshold Flag,Rule 3210,Filler,Date,ID
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191001,20191001230029
FID,FIRST TR EXCHANGE-TRDED FD VI,G,Y,N,,20191001,20191001230029
GLACR,GREENLAND ACQUISITION CORP  US,S,Y,N,,20191001,20191001230029
PPH,VANECK VECTORS TR PHARMACEUTIC,G,Y,N,,20191001,20191001230029
PSTV,PLUS THERAPEUTICS INC COM NEW,S,Y,N,,20191001,20191001230029
RNMC,FIRST TR VI MID CAP US EQUITY,G,Y,N,,20191001,20191001230029
SINT,SINTX TECHNOLOGIES INC COM,S,Y,N,,20191001,20191001230029
SUSC,ISHARES TR ESG USD CORPORATE B,G,Y,N,,20191001,20191001230029
TUR,ISHARES MSCI TURKEY ETF,G,Y,N,,20191001,20191001230029
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191001,20191001230029
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191002,20191002230030
PPH,VANECK VECTORS TR PHARMACEUTIC,G,Y,N,,20191002,20191002230030
PSTV,PLUS THERAPEUTICS INC COM NEW,S,Y,N,,20191002,20191002230030
RNMC,FIRST TR VI MID CAP US EQUITY,G,Y,N,,20191002,20191002230030
SINT,SINTX TECHNOLOGIES INC COM,S,Y,N,,20191002,20191002230030
TUR,ISHARES MSCI TURKEY ETF,G,Y,N,,20191002,20191002230030
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191002,20191002230030
BYND,BEYOND MEAT INC COM (DE),Q,Y,N,,20191003,20191003230028
JFIN,JIAYIN GROUP INC SPONSORED ADS,G,Y,N,,20191003,20191003230028
MDCO,MEDICINES COMPANY (THE),Q,Y,N,,20191003,20191003230028
PPH,VANECK VECTORS TR PHARMACEUTIC,G,Y,N,,20191003,20191003230028
PSTV,PLUS THERAPEUTICS INC COM NEW,S,Y,N,,20191003,20191003230028
RNMC,FIRST TR VI MID CAP US EQUITY,G,Y,N,,20191003,20191003230028
SINT,SINTX TECHNOLOGIES INC COM,S,Y,N,,20191003,20191003230028
TMDI,TITAN MED INC (CANADA),S,Y,N,,20191003,20191003230028
TUR,ISHARES MSCI TURKEY ETF,G,Y,N,,20191003,20191003230028
TVIX,CREDIT SUISSE AG NASSAU BRH VE,G,Y,N,,20191003,20191003230028
