id,effectiveDate,cusip,symbol,description,market,listSource,publicationDate
194502,2019-10-01,00901B105,AIM,AIM ImmunoTech Inc.,NYSE American,FINRA,2019-10-01
194548,2019-10-01,33939L670,BNDC,FlexShares Core Select Bond Fund,NYSE Arca,FINRA,2019-10-01
194550,2019-10-01,17325E309,DWT,VelocityShares 3x Inverse Crude,NYSE Arca,FINRA,2019-10-01
194552,2019-10-01,46435U549,EAGG,iShares ESG US Aggregate Bond ETF,NYSE Arca,FINRA,2019-10-01
194542,2019-10-01,25459Y280,EURL,Direxion Daily FTSE Europe Bull 3x Shares,NYSE Arca,FINRA,2019-10-01
194530,2019-10-01,464286681,EUSA,iShares MSCI USA Equal Weighted ETF,NYSE Arca,FINRA,2019-10-01
194504,2019-10-01,464286822,EWW,iShares MSCI Mexico ETF,NYSE Arca,FINRA,2019-10-01
194556,2019-10-01,78470P507,FISR,SPDR SSGA Fixed Income Sector Rotation ETF,NYSE Arca,FINRA,2019-10-01
194514,2019-10-01,33734G108,FRI,First Trust S&P REIT Index Fund,NYSE Arca,FINRA,2019-10-01
194554,2019-10-01,33739P830,FSMB,First Trust Short Duration Managed Municipal ETF,NYSE Arca,FINRA,2019-10-01
194538,2019-10-01,37954Y475,HSPX,Global X S&P 500 Covered Call ETF,NYSE Arca,FINRA,2019-10-01
194540,2019-10-01,25460E877,JDST,Direxion Daily Junior Gold Miners Index Bear 3X Shares,NYSE Arca,FINRA,2019-10-01
194546,2019-10-01,47804J404,JHMF,John Hancock Multifactor Financials ETF,NYSE Arca,FINRA,2019-10-01
194534,2019-10-01,74347W387,KOLD,ProShares UltraShort Bloomberg Natural Gas,NYSE Arca,FINRA,2019-10-01
194544,2019-10-01,25460E539,LABD,Direxion Daily S&P Biotech Bear 3X Shares,NYSE Arca,FINRA,2019-10-01
194528,2019-10-01,45779A853,NSPR,"InspireMD, Inc.",NYSE American,FINRA,2019-10-01
194506,2019-10-01,720279504,PIR,"Pier 1 Imports, Inc.",NYSE,FINRA,2019-10-01
194520,2019-10-01,46090A101,PSR,Invesco Active U.S. Real Estate Fund,NYSE Arca,FINRA,2019-10-01
194526,2019-10-01,74347G309,SDOW,ProShares UltraPro Short Dow 30,NYSE Arca,FINRA,2019-10-01
194512,2019-10-01,78463X509,SPEM,SPDR Portfolio Emerging Markets,NYSE Arca,FINRA,2019-10-01
194532,2019-10-01,74347W130,SVXY,ProShares Short VIX Short-Term Futures ETF,NYSE Arca,FINRA,2019-10-01
